epoch [201/300], loss:0.0235
epoch [202/300], loss:0.0210
epoch [203/300], loss:0.0217
epoch [204/300], loss:0.0214
epoch [205/300], loss:0.0204
epoch [206/300], loss:0.0233
epoch [207/300], loss:0.0240
epoch [208/300], loss:0.0210
epoch [209/300], loss:0.0239
epoch [210/300], loss:0.0226
epoch [211/300], loss:0.0216
epoch [212/300], loss:0.0228
epoch [213/300], loss:0.0224
epoch [214/300], loss:0.0212
epoch [215/300], loss:0.0236
epoch [216/300], loss:0.0240
epoch [217/300], loss:0.0211
epoch [218/300], loss:0.0223
epoch [219/300], loss:0.0227
epoch [220/300], loss:0.0237
epoch [221/300], loss:0.0229
epoch [222/300], loss:0.0263
epoch [223/300], loss:0.0229
epoch [224/300], loss:0.0222
epoch [225/300], loss:0.0244
epoch [226/300], loss:0.0235
epoch [227/300], loss:0.0230
epoch [228/300], loss:0.0222
epoch [229/300], loss:0.0258
epoch [230/300], loss:0.0226
epoch [231/300], loss:0.0237
epoch [232/300], loss:0.0229
epoch [233/300], loss:0.0225
epoch [234/300], loss:0.0247
epoch [235/300], loss:0.0227
epoch [236/300], loss:0.0253
epoch [237/300], loss:0.0221
epoch [238/300], loss:0.0200
epoch [239/300], loss:0.0231
epoch [240/300], loss:0.0215
epoch [241/300], loss:0.0225
epoch [242/300], loss:0.0241
epoch [243/300], loss:0.0234
epoch [244/300], loss:0.0228
epoch [245/300], loss:0.0212
epoch [246/300], loss:0.0213
epoch [247/300], loss:0.0245
epoch [248/300], loss:0.0227
epoch [249/300], loss:0.0229
epoch [250/300], loss:0.0237
epoch [251/300], loss:0.0228
epoch [252/300], loss:0.0235
epoch [253/300], loss:0.0222
epoch [254/300], loss:0.0211
epoch [255/300], loss:0.0241
epoch [256/300], loss:0.0238
epoch [257/300], loss:0.0220
epoch [258/300], loss:0.0210
epoch [259/300], loss:0.0220
epoch [260/300], loss:0.0220
epoch [261/300], loss:0.0244
epoch [262/300], loss:0.0223
epoch [263/300], loss:0.0200
epoch [264/300], loss:0.0257
epoch [265/300], loss:0.0233
epoch [266/300], loss:0.0232
epoch [267/300], loss:0.0225
epoch [268/300], loss:0.0214
epoch [269/300], loss:0.0212
epoch [270/300], loss:0.0245
epoch [271/300], loss:0.0205
epoch [272/300], loss:0.0207
epoch [273/300], loss:0.0213
epoch [274/300], loss:0.0260
epoch [275/300], loss:0.0224
epoch [276/300], loss:0.0241
epoch [277/300], loss:0.0207
epoch [278/300], loss:0.0239
epoch [279/300], loss:0.0228
epoch [280/300], loss:0.0220
epoch [281/300], loss:0.0217
epoch [282/300], loss:0.0218
epoch [283/300], loss:0.0246
epoch [284/300], loss:0.0243
epoch [285/300], loss:0.0235
epoch [286/300], loss:0.0231
epoch [287/300], loss:0.0219
epoch [288/300], loss:0.0227
epoch [289/300], loss:0.0228
epoch [290/300], loss:0.0246
epoch [291/300], loss:0.0236
epoch [292/300], loss:0.0210
epoch [293/300], loss:0.0252
epoch [294/300], loss:0.0229
epoch [295/300], loss:0.0215
epoch [296/300], loss:0.0229
epoch [297/300], loss:0.0214
epoch [298/300], loss:0.0246
epoch [299/300], loss:0.0203
epoch [300/300], loss:0.0214
